"Pais","Continente","Año","Poblacion"
"172","Morocco","Africa",2007,33757175
"173","Mozambique","Africa",2002,18473780
"174","Mozambique","Africa",2007,19951656
"175","Myanmar","Asia",2002,45598081
"176","Myanmar","Asia",2007,47761980
"177","Namibia","Africa",2002,1972153
"178","Namibia","Africa",2007,2055080
"179","Nepal","Asia",2002,25873917
"180","Nepal","Asia",2007,28901790
"181","Netherlands","Europe",2002,16122830
"182","Netherlands","Europe",2007,16570613
"183","New Zealand","Oceania",2002,3908037
"184","New Zealand","Oceania",2007,4115771
"185","Nicaragua","Americas",2002,5146848
"186","Nicaragua","Americas",2007,5675356
"187","Niger","Africa",2002,11140655
"188","Niger","Africa",2007,12894865
"189","Nigeria","Africa",2002,119901274
"190","Nigeria","Africa",2007,135031164
"191","Norway","Europe",2002,4535591
"192","Norway","Europe",2007,4627926
"193","Oman","Asia",2002,2713462
"194","Oman","Asia",2007,3204897
"195","Pakistan","Asia",2002,153403524
"196","Pakistan","Asia",2007,169270617
"197","Panama","Americas",2002,2990875
"198","Panama","Americas",2007,3242173
"199","Paraguay","Americas",2002,5884491
"200","Paraguay","Americas",2007,6667147
"201","Peru","Americas",2002,26769436
"202","Peru","Americas",2007,28674757
"203","Philippines","Asia",2002,82995088
"204","Philippines","Asia",2007,91077287
"205","Poland","Europe",2002,38625976
"206","Poland","Europe",2007,38518241
"207","Portugal","Europe",2002,10433867
"208","Portugal","Europe",2007,10642836
"209","Puerto Rico","Americas",2002,3859606
"210","Puerto Rico","Americas",2007,3942491
"211","Reunion","Africa",2002,743981
"212","Reunion","Africa",2007,798094
"213","Romania","Europe",2002,22404337
"214","Romania","Europe",2007,22276056
"215","Rwanda","Africa",2002,7852401
"216","Rwanda","Africa",2007,8860588
"217","Sao Tome and Principe","Africa",2002,170372
"218","Sao Tome and Principe","Africa",2007,199579
"219","Saudi Arabia","Asia",2002,24501530
"220","Saudi Arabia","Asia",2007,27601038
"221","Senegal","Africa",2002,10870037
"222","Senegal","Africa",2007,12267493
"223","Serbia","Europe",2002,10111559
"224","Serbia","Europe",2007,10150265
"225","Sierra Leone","Africa",2002,5359092
"226","Sierra Leone","Africa",2007,6144562
"227","Singapore","Asia",2002,4197776
"228","Singapore","Asia",2007,4553009
"229","Slovak Republic","Europe",2002,5410052
"230","Slovak Republic","Europe",2007,5447502
"231","Slovenia","Europe",2002,2011497
"232","Slovenia","Europe",2007,2009245
"233","Somalia","Africa",2002,7753310
"234","Somalia","Africa",2007,9118773
"235","South Africa","Africa",2002,44433622
"236","South Africa","Africa",2007,43997828
"237","Spain","Europe",2002,40152517
"238","Spain","Europe",2007,40448191
"239","Sri Lanka","Asia",2002,19576783
"240","Sri Lanka","Asia",2007,20378239
"241","Sudan","Africa",2002,37090298
"242","Sudan","Africa",2007,42292929
"243","Swaziland","Africa",2002,1130269
"244","Swaziland","Africa",2007,1133066
"245","Sweden","Europe",2002,8954175
"246","Sweden","Europe",2007,9031088
"247","Switzerland","Europe",2002,7361757
"248","Switzerland","Europe",2007,7554661
"249","Syria","Asia",2002,17155814
"250","Syria","Asia",2007,19314747
"251","Taiwan","Asia",2002,22454239
"252","Taiwan","Asia",2007,23174294
"253","Tanzania","Africa",2002,34593779
"254","Tanzania","Africa",2007,38139640
"255","Thailand","Asia",2002,62806748
"256","Thailand","Asia",2007,65068149
"257","Togo","Africa",2002,4977378
"258","Togo","Africa",2007,5701579
"259","Trinidad and Tobago","Americas",2002,1101832
"260","Trinidad and Tobago","Americas",2007,1056608
"261","Tunisia","Africa",2002,9770575
"262","Tunisia","Africa",2007,10276158
"263","Turkey","Europe",2002,67308928
"264","Turkey","Europe",2007,71158647
"265","Uganda","Africa",2002,24739869
"266","Uganda","Africa",2007,29170398
"267","United Kingdom","Europe",2002,59912431
"268","United Kingdom","Europe",2007,60776238
"269","United States","Americas",2002,287675526
"270","United States","Americas",2007,301139947
"271","Uruguay","Americas",2002,3363085
"272","Uruguay","Americas",2007,3447496
"273","Venezuela","Americas",2002,24287670
"274","Venezuela","Americas",2007,26084662
"275","Vietnam","Asia",2002,80908147
"276","Vietnam","Asia",2007,85262356
"277","West Bank and Gaza","Asia",2002,3389578
"278","West Bank and Gaza","Asia",2007,4018332
"279","Yemen, Rep.","Asia",2002,18701257
"280","Yemen, Rep.","Asia",2007,22211743
"281","Zambia","Africa",2002,10595811
"282","Zambia","Africa",2007,11746035
"283","Zimbabwe","Africa",2002,11926563
"284","Zimbabwe","Africa",2007,12311143
