"Year_Mes","Provincia","Total_Ventas"
"101",2012-08-01,"Asturias",10279.2515
"102",2012-08-01,"Avila",18844.9905
"103",2012-09-01,"Barcelona",15946.3625
"104",2012-09-01,"Badajoz",44508.325
"105",2012-09-01,"Caceres",26386.495
"106",2012-09-01,"Gerona",15763.7
"107",2012-09-01,"Huelva",3953.381
"108",2012-09-01,"Madrid",21899.3125
"109",2012-09-01,"Jaen",22693.782
"110",2012-09-01,"Albacete",91731.542
"111",2012-09-01,"Alicante",13151.973
"112",2012-09-01,"Almeria",29646.771
"113",2012-09-01,"Asturias",26561.5955
"114",2012-09-01,"Avila",6028.327
"115",2012-10-01,"Barcelona",38593.3895
"116",2012-10-01,"Badajoz",57687.6015
"117",2012-10-01,"Caceres",40658.1975
"118",2012-10-01,"Gerona",18720.964
"119",2012-10-01,"Huelva",2925.3535
"120",2012-10-01,"Madrid",20456.17
"121",2012-10-01,"Jaen",6542.4
"122",2012-10-01,"Oviedo",10688.25
"123",2012-10-01,"Albacete",57192.1395
"124",2012-10-01,"Alicante",518.98
"125",2012-10-01,"Almeria",22662.2635
"126",2012-10-01,"Asturias",28535.4435
"127",2012-10-01,"Avila",46065.58
"128",2012-11-01,"Barcelona",34123.5575
"129",2012-11-01,"Badajoz",19308.374
"130",2012-11-01,"Caceres",39202.173
"131",2012-11-01,"Gerona",25448.44
"132",2012-11-01,"Huelva",5441.93
"133",2012-11-01,"Madrid",49213.368
"134",2012-11-01,"Jaen",5311.385
"135",2012-11-01,"Albacete",31611.639
"136",2012-11-01,"Alicante",10567.6
"137",2012-11-01,"Almeria",10282.6355
"138",2012-11-01,"Asturias",4060.652
"139",2012-11-01,"Avila",21448.35
"140",2012-12-01,"Barcelona",34753.981
"141",2012-12-01,"Badajoz",43234.767
"142",2012-12-01,"Caceres",16284.6635
"143",2012-12-01,"Gerona",6201.41
"144",2012-12-01,"Huelva",1043.12
"145",2012-12-01,"Madrid",888.38
"146",2012-12-01,"Jaen",15232.2735
"147",2012-12-01,"Albacete",77848.1635
"148",2012-12-01,"Alicante",1689.97
"149",2012-12-01,"Almeria",102097.8935
"150",2012-12-01,"Asturias",40953.1595
"151",2012-12-01,"Avila",14481.5565
