"Masa","Altura","Num_Hojas","Masa_Seca","Variedad"
"69",12.9,12.4,3,4.6,"barbadensis"
"70",26.6,20,5,8.9,"barbadensis"
"71",29.6,20.5,3,9.7,"barbadensis"
"72",22.4,18.2,3,7,"barbadensis"
"73",17.3,13.3,3,5.8,"barbadensis"
"74",16.6,13.5,4,5.6,"barbadensis"
"75",12.8,12,2,4.5,"barbadensis"
"76",19.1,14.5,3,6.7,"barbadensis"
"77",12.4,11.6,2,4.3,"barbadensis"
"78",8.8,9.2,2,3.3,"barbadensis"
"79",13.2,15.1,3,4.1,"barbadensis"
"80",15.9,12.2,3,5.3,"barbadensis"
"81",13.3,11.2,2,5,"barbadensis"
"82",6.3,8.4,1,2.3,"barbadensis"
"83",12.9,11.5,2,4.5,"barbadensis"
"84",6.2,7.8,1,2.2,"barbadensis"
"85",8.6,9.8,2,3,"barbadensis"
"86",14.4,11.6,2,5.1,"barbadensis"
"87",11.5,9.8,2,4,"barbadensis"
"88",11.5,11,2,3.9,"barbadensis"
"89",12.8,10.6,2,5,"barbadensis"
"90",11.7,11.1,2,4.2,"barbadensis"
"91",15.7,14,3,6.1,"barbadensis"
"92",12,11.4,2,4.3,"barbadensis"
"93",13.4,11.1,2,4.2,"barbadensis"
"94",11.3,10.7,2,3.7,"barbadensis"
"95",6.6,7.9,1,2.5,"barbadensis"
"96",17.8,13.7,4,6.3,"barbadensis"
"97",9.6,10,2,3.2,"barbadensis"
"98",14.3,12.8,3,5.3,"barbadensis"
"99",14,12.2,2,5.2,"barbadensis"
"100",11.3,11.4,3,4.2,"barbadensis"
"101",10.2,10.2,3,3.8,"barbadensis"
"102",12.2,10.8,3,4.7,"barbadensis"
"103",15.9,13,4,5.5,"barbadensis"
"104",11.7,10.3,2,4.5,"barbadensis"
"105",12.4,11,2,4.1,"barbadensis"
"106",11.5,11.4,2,4.5,"barbadensis"
"107",10.6,10.5,2,4,"barbadensis"
"108",9.4,9.2,2,3.3,"barbadensis"
"109",9.2,9.9,2,3.5,"barbadensis"
"110",6.1,8.4,1,2.5,"barbadensis"
"111",10.9,12.8,NA,3,"saponaria"
"112",6.6,10.5,NA,1.1,"saponaria"
"113",22.5,18,NA,3.4,"saponaria"
"114",33.7,21.5,NA,6.6,"saponaria"
"115",20.6,17.8,NA,3.5,"saponaria"
"116",16.6,16.3,NA,4.3,"saponaria"
"117",14.2,17.4,NA,2.1,"saponaria"
"118",13.8,15.7,NA,2.1,"saponaria"
"119",14,17.3,NA,2.4,"saponaria"
"120",8.7,13.4,NA,2.2,"saponaria"
"121",14.2,13.9,NA,3.2,"saponaria"
"122",10.6,14.6,NA,1.7,"saponaria"
"123",10.9,14.2,NA,1.6,"saponaria"
"124",3.3,8.9,NA,0.5,"saponaria"
"125",9.7,13,NA,1.5,"saponaria"
"126",9.3,12.2,NA,1.9,"saponaria"
"127",17.2,16.5,NA,2.4,"saponaria"
"128",10.1,14.7,NA,2.3,"saponaria"
"129",9,13.4,NA,2.9,"saponaria"
"130",7.1,11.6,NA,1.5,"saponaria"
"131",7.1,12.9,NA,1.6,"saponaria"
"132",1.5,6.5,NA,0.2,"saponaria"
"133",4.1,9.5,NA,1.4,"saponaria"
"134",8,11.8,NA,2.2,"saponaria"
"135",7.4,13.6,NA,1.9,"saponaria"
"136",7.2,12.9,NA,1.1,"saponaria"
"137",6.9,11.6,NA,1.3,"saponaria"
"138",2.9,9.4,NA,0.8,"saponaria"
"139",2.4,9.5,NA,1.1,"saponaria"
"140",10.7,14,NA,2.3,"saponaria"
"141",13.8,13.5,NA,3.5,"saponaria"
"142",10.9,12.1,NA,1.7,"saponaria"
"143",10.3,11.6,NA,2,"saponaria"
"144",8.8,13.4,NA,1.7,"saponaria"
"145",9,10.9,NA,2.5,"saponaria"
"146",8.2,12.2,NA,1.7,"saponaria"
"147",9.6,13.4,NA,1.2,"saponaria"
"148",9,12.5,NA,1.7,"saponaria"
"149",5.3,10.5,NA,0.9,"saponaria"
"150",1.5,7,NA,0.7,"saponaria"
"151",6.7,13.2,NA,1.1,"saponaria"
"152",2.9,9.3,NA,0.6,"saponaria"
"153",2.9,7.9,NA,1,"saponaria"
"154",3.5,10.3,NA,1.2,"saponaria"
"155",3.4,7.5,NA,1.1,"saponaria"
"156",4.9,8.5,NA,1.5,"saponaria"
"157",4.7,10.1,NA,1.2,"saponaria"
"158",4.7,8.3,NA,1.3,"saponaria"
"159",5.2,10.8,NA,0.9,"saponaria"
"160",2.1,8.3,NA,0.5,"saponaria"
"161",2.2,7.1,NA,0.5,"saponaria"
"162",1.4,6.4,NA,0.6,"saponaria"
"163",2.7,6.5,NA,0.4,"saponaria"
"164",1,4.8,NA,0.4,"saponaria"
"165",2.5,7.4,NA,0.8,"saponaria"
"166",5.5,9.3,NA,0.9,"saponaria"
"167",2.7,8.6,NA,0.9,"saponaria"
"168",6.7,9.9,NA,2,"saponaria"
"169",7.3,13.9,NA,1.1,"saponaria"
"170",2.9,8.7,NA,1.3,"saponaria"
"171",3.8,9.3,NA,1,"saponaria"
"172",7.6,13.7,NA,2.6,"saponaria"
"173",3.6,8.3,NA,1.5,"saponaria"
"174",3,8.1,NA,1,"saponaria"
"175",5.8,11.2,NA,2,"saponaria"
"176",5.3,12,NA,1.1,"saponaria"
"177",3.2,11.3,NA,1.5,"saponaria"
"178",4.4,6.7,NA,1.5,"saponaria"
"179",3.4,10.6,NA,1.4,"saponaria"
"180",2.9,8.9,NA,0.9,"saponaria"
"181",4.9,15.3,NA,1.2," brevifolia"
"182",6.2,15.9,NA,1.1," brevifolia"
"183",4,15,NA,0.7," brevifolia"
"184",3.3,11,NA,NA," brevifolia"
"185",4.8,15.1,NA,0.8," brevifolia"
"186",5.6,15.6,NA,1," brevifolia"
"187",4.5,15.3,NA,0.7," brevifolia"
"188",6.3,18.4,NA,1.6," brevifolia"
"189",4.2,14,NA,0.8," brevifolia"
"190",3.9,12.6,NA,1.1," brevifolia"
"191",5.8,16.8,NA,0.9," brevifolia"
"192",4.7,13.6,NA,1," brevifolia"
"193",6,15.1,NA,1.5," brevifolia"
"194",6.5,16.7,NA,1.7," brevifolia"
"195",5,15.3,NA,1," brevifolia"
"196",5.5,17.1,NA,1.3," brevifolia"
"197",4.7,14.6,NA,1," brevifolia"
"198",5.7,15,NA,1.5," brevifolia"
"199",3.6,10.4,NA,1.1," brevifolia"
"200",5.4,16.5,NA,1.3," brevifolia"
"201",5.3,16.6,NA,1.1," brevifolia"
"202",5,15.9,NA,1," brevifolia"
"203",4.5,14.4,NA,1," brevifolia"
"204",4.4,16.2,NA,1.1," brevifolia"
"205",4.8,15.2,NA,0.8," brevifolia"
"206",4.5,15.8,NA,0.8," brevifolia"
"207",3.2,11,NA,0.6," brevifolia"
"208",4.7,14.1,NA,0.8," brevifolia"
"209",4,13.7,NA,0.8," brevifolia"
"210",5.8,15.4,NA,1.5," brevifolia"
"211",5.5,15.3,NA,1.3," brevifolia"
"212",4.4,13.5,NA,0.7," brevifolia"
"213",3.5,12,NA,1.1," brevifolia"
"214",4.4,14.7,NA,0.9," brevifolia"
"215",4.3,15.5,NA,1.2," brevifolia"
"216",4.1,12.9,NA,1.5," brevifolia"
"217",5.3,15,NA,1.6," brevifolia"
"218",4.7,15.8,NA,0.9," brevifolia"
"219",5.3,13.8,NA,NA," brevifolia"
"220",4.7,12.8,NA,1.2," brevifolia"
"221",4.9,16,NA,1.6," brevifolia"
"222",4.1,12,NA,0.6," brevifolia"
"223",4.6,14.3,NA,0.7," brevifolia"
"224",4.8,14.5,NA,0.9," brevifolia"
"225",3.4,11.4,NA,1.1," brevifolia"
"226",3.4,13.3,NA,0.6," brevifolia"
"227",5.8,15.5,NA,1.1," brevifolia"
"228",4.8,15.1,NA,1," brevifolia"
"229",3.9,12.8,NA,0.8," brevifolia"
"230",3.4,12.7,NA,0.8," brevifolia"
"231",4.5,15.7,NA,0.9," brevifolia"
"232",3.3,13.2,NA,0.5," brevifolia"
"233",3.3,13.4,NA,0.5," brevifolia"
"234",3.6,13.8,NA,0.6," brevifolia"
"235",3.5,11.2,NA,0.6," brevifolia"
"236",3.8,11.4,NA,1.1," brevifolia"
"237",3.2,11.1,NA,1," brevifolia"
"238",3.8,14.4,NA,0.7," brevifolia"
"239",5.3,13.4,NA,1.6," brevifolia"
"240",5.8,14.7,NA,1.7," brevifolia"
"241",4.6,14.9,NA,0.9," brevifolia"
"242",3.2,10.5,NA,1.1," brevifolia"
"243",4.3,14.6,NA,0.8," brevifolia"
"244",2.7,11.3,NA,0.5," brevifolia"
"245",2.6,9.1,NA,0.4," brevifolia"
"246",2.4,9,NA,NA," brevifolia"
"247",2.6,9.4,NA,0.9," brevifolia"
"248",3.2,12.1,NA,0.6," brevifolia"
"249",6.4,16.1,NA,1.8," brevifolia"
"250",3.4,13.2,NA,1.2," brevifolia"
"251",3.4,11.4,NA,1.2," brevifolia"
"252",2.7,11.5,NA,0.7," brevifolia"
