Parque1 Parque2
142 5 4.37
143 6.02 5.67
144 7.82 7.18
145 8.9 8.01
146 9.3 8.31
147 9.03 8.12
148 8.15 7.22
149 8.59 7.68
150 8.72 7.54
151 8.86 8.26
152 8.76 8.42
153 8.93 8.24
154 9.38 8.6
155 8.42 8.28
156 7.95 8.94
157 7.5 8.38
158 7.12 7.05
159 7.57 7.72
160 8.65 7.75
161 8.96 7.28
162 8.18 6.25
163 6.37 6.43
164 5.8 5.71
165 3.74 3.62
166 4.05 2.94
167 1.88 4.7
168 2.14 4.93
169 1.36 3.14
170 1.94 2.32
171 2 1.55
172 2.16 1.49
173 1.7 1.85
174 3.91 3.35
175 4 3.46
176 4.59 3.66
177 3.88 3.3
178 3.35 3.24
179 3.14 3.77
180 3.77 4
181 2.54 2.36
182 2.55 1.65
183 3.82 3.43
184 4.14 3.04
185 4.68 3.36
186 5.45 2.54
187 4.15 3.15
188 4.77 3.88
189 4.1 4.04
190 3.97 3.6
191 4.9 5.22
192 4.7 4.98
193 4.45 4.12
194 4.49 4.2
195 4.61 5.11
196 3.38 4.06
197 3.26 3.07
198 3.2 4.01
199 3.85 3.84
200 4.04 4.07
201 5.21 4.5
202 4.04 3.8
203 3.26 2.6
204 3.31 1.81
205 3.03 1.26
206 3.47 1.61
207 4.03 2.84
208 3.86 3.26
209 3.34 3.06
210 2.94 2.59
211 2.74 3.26
212 3.64 3.26
213 3.1 2.38
214 2.56 3.59
215 2.74 3.04
216 2.33 1.83
217 2.41 1.41
218 2.16 1.97
219 2.15 1.8
220 2.1 1.69
221 2.03 1.34
222 2.27 1.05
223 1.93 0.69
224 2.49 1.77
225 2.33 1.82
226 1.48 1.84
227 1.37 2.21
228 1.91 1.82
229 1.34 1.94
230 1.34 1.96
231 0.85 1.92
232 0.51 1.86
233 2.23 3.37
234 2.24 3.42
235 2.02 3.21
236 1.76 2.68
237 3.1 2.36
238 1.91 1.66
239 1.91 2.15
240 2.9 3.23
241 4.93 5.22
242 5.3 5.79
243 6.21 6.42
244 6.25 6.24
245 6.15 6.02
246 5.97 6.22
247 5.67 5.81
248 5.06 5.46
249 4.9 5.49
250 3.61 5.23
251 3.46 4.73
252 4.37 4.79
253 4.34 5.21
254 4.46 5
255 4.39 5.07
256 5.14 4.68
257 6.25 5.05
258 6.28 4.24
259 5.79 3.31
260 5.39 3.07
261 4.61 3
262 3.53 2.28
263 4.22 2.8
264 5.45 3.3
265 5.35 3.63
266 6.37 4.01
267 6.75 4.9
268 6.16 4.78
269 5.31 4.81
270 5.13 4.99
271 6.05 5.86
272 5.61 5.52
273 2.58 4.16
274 2.7 3.82
275 2.07 3.04
276 2.96 3.01
277 3.02 2.66
278 3.66 3.12
279 3.35 3.56
280 4.12 3.49
281 4.89 4.55
282 3.77 4.21
283 6.15 4.74
284 7.65 6.29
285 6.6 6.78
286 7.59 6.76
287 6.93 5.79
288 8.74 7.18
289 8.12 7.81
290 9.23 9.37
291 11.72 9.74
292 10.62 9.55
293 10.06 10.07
294 10.96 10.9
295 11.17 10.93
296 11.24 11.5
297 11.98 11.06
298 10.38 9.66
299 10.06 10.63
300 11.39 11.67
301 9.84 10.35
302 8.19 8.79
303 8.68 8.12
304 9.36 10.31
305 10.51 9.37
306 6.84 5.51
307 3.03 4
308 6.11 1.72
309 6.63 3.56
310 3.25 3.97
311 3.94 4.53
312 6.47 3.5
313 4.85 4.07
314 3.52 4.8
315 5.34 5.2
316 7.62 5.73
317 8.02 7.29
318 9.08 7.17
319 9.26 6.77
320 9.63 6.82
321 8.56 6.07
322 8.52 6.37
323 7.28 5.45
324 7 5.3
325 10.45 7.63
326 10.43 7.37
327 10.37 7.83
328 9.75 8.29
329 8.86 8.23
330 9.34 8.99
331 9.1 9.74
332 6.66 6.61
333 7.09 7.16
334 6.36 5.78
335 4.91 1.39
336 1.94 2.39
337 1.44 2.91
338 1.26 2.37
339 3.06 1.13
340 4.36 2.28
341 2.47 2.09
342 3.64 1.37
343 5.17 2.35
344 5.52 2.03
345 4.89 2.24
346 6.58 4.91
347 6.39 4.2
348 7.75 5.58
349 9.35 8.01
350 8.76 7.86
351 9.55 7.08
352 8.24 6.51
353 10.58 8.1
354 11.18 11.64
355 10.75 10.49
356 7.77 7.29
357 6.25 5.88
358 5.24 7.13
359 6.39 6.15
360 8.49 6.18
361 6.77 6.55
362 4.82 5.32
363 6.19 5.96
364 7.42 7.6
365 8.92 10.01
366 9.81 10.57
367 9.44 10.09
368 10.41 10.35
369 9.82 8.91
370 8.61 9.93
371 9.13 7.75
372 7.32 6.66
373 7.09 5.88
374 6.56 5.87
375 4.98 5.42
376 4.15 4.64
377 5.18 4.85
378 6.76 6.58
379 6.29 8.05
380 5.61 8.01
381 6.3 4.72
382 3.48 3.28
383 4.26 3
384 3.16 2.68
385 6.28 6.09
386 6.69 6.18
387 7.76 6.58
388 7.65 6.86
389 7.94 7.24
390 8.55 7.63
391 7.96 7.53
392 8.22 7.35
393 7.05 6.1
394 4.4 4.91
395 2.63 1.98
396 3.47 2.31
397 3.47 3.45
398 4.16 3.77
399 4.92 4.11
400 5.15 3.97
401 6.23 5.08
402 4.76 5.02
403 5.52 5.92
404 6.63 7.55
405 3.91 5.25
406 1.52 2.57
407 0.49 1.09
408 0.8 0.79
409 0.72 1.06
410 0.27 0.77
411 0.31 0.48
412 1.56 0.14
413 2.02 0.68
414 2.82 0.98
415 3.12 2.24
416 2.56 2.05
417 2.82 3.21
418 2.16 2.76
419 2.58 3.06
420 3.49 3.05
421 3.63 3.28
422 3.46 3.38
423 3.12 3.06
424 3.25 3.42
425 2.79 3.75
426 4.43 3.83
427 4.96 4.41
428 5.34 4.9
429 6.35 5.82
430 4.94 4.48
431 4.62 3.62
432 3.71 3.21
433 5.6 4.36
434 5.98 6.47
435 6.93 6.8
436 5.9 5.94
437 6.42 6.47
438 7.08 6.45
439 6.15 5.79
440 5.27 5.65
441 5.26 4.92
442 3.6 4.64
443 4.14 4.68
444 6.02 4.31
445 5.38 4.63
446 4.52 3.82
447 4.39 3.47
448 2.7 1.65
449 4.43 2.35
450 1.26 3.23
451 3.19 2.92
452 1.38 2.45
453 1.29 1.8
454 0.8 2.06
455 1.18 1.98
456 1.42 2.11
457 0.99 0.94
458 1.03 0.99
459 3.16 2.34
460 2.15 1.29
461 4.09 1.84
462 5.85 2.21
463 5.36 4.56
464 4.56 2.83
465 5.85 4.05
466 5.31 3.9
467 3.9 4.01
468 4.1 4.06
469 5.98 4.46
470 7.16 5.61
471 7.66 6.04
472 8.82 7.44
473 10.28 8.22
474 10.65 9.24
475 9.6 9.06
476 9.54 9.93
477 11.11 10.63
478 9.55 8.82
479 9.01 8.6
480 9.37 9.49
481 9.98 9.35
482 9.78 8.58
483 9.04 8.71
484 9.4 9.02
485 9.78 8.18
486 9.36 8.55
487 9.86 8.58
488 10.08 9.17
489 10.25 8.64
490 7.7 6.75
491 4.85 3.35
492 4.84 4.66
493 6.09 4.47
494 5.65 5.36
495 4.65 4.27
496 4.06 3.72
497 2.48 4.63
498 2.44 5.14
499 3.01 5.75
500 2.61 4.84
501 4.4 5.81
502 3 4.99
503 5 6.65
504 5.87 8.18
505 6.04 8.06
506 9.07 9.9
507 10.55 9.82
508 10.97 11.04
509 11.91 12.96
510 11.28 10.91
511 13.39 13.41
512 13.27 14.12
513 11.6 11.85
514 8.83 8.27
515 7.27 5.49
516 8.51 6.66
517 6.34 5.06
518 6.3 4.55
519 5.82 6.08
520 7.36 5.71
521 6.54 6.28
522 6.9 7.24
523 8.21 7.04
524 8.15 7.64
525 9.57 7.96
526 6.9 7.57
527 5.72 6.05
528 7.47 7.52
529 7.48 8.13
530 6.85 8.9
531 6.31 7.92
532 7.5 7.66
533 6.84 6.68
534 5.78 6.64
535 5.66 5.77
536 4.94 5.61
537 2.33 4.11
538 1.94 2
539 2 2.4
540 1.51 1.64
541 1.54 1.67
542 1.01 2.11
543 1.22 2.84
544 1.91 2.58
545 2.82 4.33
546 3.33 6.69
547 5.63 8.16
548 4.77 7.54
549 6.79 8.63
550 7.41 9.91
551 13.23 13.74
552 12.23 13.63
553 12.55 15.09
554 11.65 15.13
555 13.15 15.4
556 14.99 17.82
557 16.2 17.1
558 16.28 16.45
559 14.66 14.9
560 13.67 14.88
561 14.72 15.93
562 14.61 16
563 16.16 15.67
564 15.74 15.77
565 14.19 15.31
566 12.93 13.98
567 12.91 13.28
568 14.01 13.99
569 14.91 13.56
570 14.06 13.65
571 12.51 13.5
572 11.44 11.94
573 9.98 11.17
574 9.87 10.49
575 8.66 8.98
576 9.44 8.91
577 9.68 9.25
578 10.67 11.46
579 10.53 11.65
580 10.99 11.87
581 11.13 11.68
582 11.17 12.4
583 10.38 10.5
584 5.98 4.64
585 5.25 5.71
586 3.37 3.88
587 4.37 4.01
588 6.22 5.42
589 7.97 6.88
590 7.49 8.44
591 8.44 8.95
592 9.47 7.39
593 10.12 8.66
594 10.07 9.91
595 9.96 10.32
596 8.94 11.35
597 10.29 9.92
598 10.6 9.76
599 8.87 9.78
600 10.87 9.51
601 9.65 9.31
602 11.37 11.12
603 11.25 11.83
604 10.23 10.11
605 8.94 8.34
606 7.86 6.05
607 7.09 4.61
608 7.73 5.05
609 4.49 4.3
610 8.17 5.69
611 7.28 4.96
612 7.29 5.56
613 8.46 6.66
614 7.83 6.97
615 7.41 7.82
616 7.98 8.03
617 7.35 7.93
618 9.36 9.55
619 9.52 10.21
620 8.49 10.13
621 10.72 10.95
622 11.26 10.09
623 10.27 10.13
624 11.36 10.28
625 12.07 11.59
626 11.98 13.07
627 11.41 13.21
628 13.3 12.71
629 12.81 13.88
630 12.95 13.04
631 12.49 13.21
632 12.73 12.95
633 12.27 12.57
634 12.45 13.11
635 12.56 12.18
636 9.7 10.53
637 9.6 9.88
638 9.27 10.71
639 8.26 7.95
640 7.91 7.63
641 12.48 11.66
642 10.67 9.71
643 10.46 10.17
644 7.18 6.33
645 5.78 3.65
646 3.74 2.06
647 3.63 1.11
648 1.99 2.12
649 2.95 2.25
650 4.45 2.28
651 5.81 2.02
652 4.52 1.73
653 2.18 0.68
654 5 2.07
655 7.99 6.91
656 6.64 5.05
657 7.08 5.63
658 6.9 5.62
659 5.84 6.29
660 4.87 4.23
661 4.02 4.22
662 6.12 5.04
663 3.65 2.79
664 3.1 1.08
665 1.37 1.44
666 1.75 3.49
667 2.08 4.98
668 3.73 4.21
669 3.04 3.47
670 2.71 2.89
671 3.31 3.81
672 5.64 5.1
673 6.36 5.66
674 5.92 5.77
675 6.13 5.8
676 7.4 6.96
677 6.82 7.24
678 6.62 6.83
679 7.04 7.02
680 4.87 6.24
681 2.76 5.81
682 2.39 4.33
683 2.04 3.32
684 1.13 1.24
685 0.87 1.33
686 0.99 1.43
687 1.56 1.83
688 1.24 1.09
689 0.81 1.4
690 1.5 1.54
691 2.54 1.83
692 3.95 2.67
693 4.13 4.6
694 4.08 5.4
695 3.93 5.04
696 3.47 5.06
697 2.73 3.37
698 2.76 2.06
699 3.15 3.08
700 2.27 3.89
701 2.09 3.24
702 1.93 4.02
703 3.5 3.78
704 4.53 5.99
705 3.86 5.98
706 3.58 6.41
707 3.77 5.18
708 3.92 5.49
709 3.47 4.2
710 3.38 3.14
711 2.95 2.86
712 3.47 3.85
713 3.5 5.11
714 3.24 5.96
715 2.56 5.71
716 4.1 4.38
717 4.61 5.81
718 5.28 5.55
719 3.79 5.85
720 4.81 6.84
721 3.6 5.14
722 3.84 5.29
723 3.65 5.25
724 4 5.37
725 3.64 4.92
726 6.11 6.1
727 6.8 7.15
728 7.33 8.03
729 6.55 8.42
730 8.44 9.23
