"Num_Empleado"	"Salario"	"Desde_Fecha"	"Hasta_Fecha"
"76"	10007	63208	"2013-02-09"	"2014-02-09"
"77"	10007	64563	"2014-02-09"	"2015-02-09"
"78"	10007	68833	"2015-02-09"	"2016-02-09"
"79"	10007	70220	"2016-02-09"	"2017-02-08"
"80"	10007	73362	"2017-02-08"	"2018-02-08"
"81"	10007	75582	"2018-02-08"	"2019-02-08"
"86"	10008	46671	"2008-03-11"	"2009-03-11"
"87"	10008	48584	"2009-03-11"	"2010-03-10"
"88"	10008	52668	"2010-03-10"	"2011-07-31"
"89"	10009	60929	"2000-02-18"	"2006-02-18"
"90"	10009	64604	"2006-02-18"	"2007-02-18"
"91"	10009	64780	"2007-02-18"	"2008-02-18"
"92"	10009	66302	"2008-02-18"	"2009-02-17"
"93"	10009	69042	"2009-02-17"	"2010-02-17"
"94"	10009	70889	"2010-02-17"	"2011-02-17"
"95"	10009	71434	"2011-02-17"	"2012-02-17"
"96"	10009	74612	"2012-02-17"	"2013-02-16"
"97"	10009	76518	"2013-02-16"	"2014-02-16"
"98"	10009	78335	"2014-02-16"	"2015-02-16"
"99"	10009	80944	"2015-02-16"	"2016-02-16"
"100"	10009	82507	"2016-02-16"	"2017-02-15"
"101"	10009	85875	"2017-02-15"	"2018-02-15"
"102"	10009	89324	"2018-02-15"	"2019-02-15"
"107"	10010	72488	"2006-11-24"	"2007-11-24"
"108"	10010	74347	"2007-11-24"	"2008-11-24"
"109"	10010	75405	"2008-11-24"	"2009-11-24"
"110"	10010	78194	"2009-11-24"	"2010-11-23"
"111"	10010	79580	"2010-11-23"	"2011-11-23"
"112"	10010	80324	"2011-11-23"	"2018-01-01"
"113"	10011	42365	"2000-01-22"	"2001-01-22"
"114"	10011	44200	"2001-01-22"	"2002-01-22"
"115"	10011	48214	"2002-01-22"	"2003-01-21"
"116"	10011	50927	"2003-01-21"	"2004-01-21"
"117"	10011	51470	"2004-01-21"	"2005-01-21"
"118"	10011	54545	"2005-01-21"	"2006-01-21"
"119"	10011	56753	"2006-01-21"	"2006-11-09"
"120"	10012	40000	"2002-12-18"	"2003-12-18"
"121"	10012	41867	"2003-12-18"	"2004-12-18"
"122"	10012	42318	"2004-12-18"	"2005-12-18"
"123"	10012	44195	"2005-12-18"	"2006-12-17"
"124"	10012	46460	"2006-12-17"	"2007-12-17"
"125"	10012	46485	"2007-12-17"	"2008-12-17"
"126"	10012	47364	"2008-12-17"	"2009-12-17"
"127"	10012	51122	"2009-12-17"	"2010-12-16"
"128"	10012	54794	"2010-12-16"	"2011-12-16"
"129"	10012	54423	"2011-12-16"	"2018-01-01"
"130"	10013	40000	"2000-10-20"	"2006-10-20"
"131"	10013	40623	"2006-10-20"	"2007-10-20"
"132"	10013	40561	"2007-10-20"	"2008-10-19"
"133"	10013	40306	"2008-10-19"	"2009-10-19"
"134"	10013	43569	"2009-10-19"	"2010-10-19"
"135"	10013	46305	"2010-10-19"	"2011-10-19"
"136"	10013	47118	"2011-10-19"	"2012-10-18"
"137"	10013	50351	"2012-10-18"	"2013-10-18"
"138"	10013	49887	"2013-10-18"	"2014-10-18"
"139"	10013	53957	"2014-10-18"	"2015-10-18"
"140"	10013	57590	"2015-10-18"	"2016-10-17"
"141"	10013	59228	"2016-10-17"	"2017-10-17"
"142"	10013	59571	"2017-10-17"	"2018-10-17"
"143"	10013	63274	"2018-10-17"	"2019-10-17"
"147"	10014	46168	"2003-12-29"	"2004-12-29"
"148"	10014	48242	"2004-12-29"	"2005-12-29"
"149"	10014	47921	"2005-12-29"	"2006-12-28"
"150"	10014	50715	"2006-12-28"	"2007-12-28"
"151"	10014	53228	"2007-12-28"	"2008-12-28"
"152"	10014	53962	"2008-12-28"	"2009-12-28"
"153"	10014	56937	"2009-12-28"	"2010-12-27"
"154"	10014	59142	"2010-12-27"	"2011-12-27"
"155"	10014	60598	"2011-12-27"	"2018-01-01"
"156"	10015	40000	"2002-09-19"	"2003-08-22"
"157"	10016	70889	"2008-02-11"	"2009-02-11"
"158"	10016	72946	"2009-02-11"	"2010-02-11"
"159"	10016	76826	"2000-02-11"	"2001-02-10"
"160"	10016	76381	"2001-02-10"	"2002-02-10"
"161"	10016	77935	"2002-02-10"	"2018-01-01"
"162"	10017	71380	"2003-08-03"	"2004-08-03"
"163"	10017	75538	"2004-08-03"	"2005-08-03"
"164"	10017	79510	"2005-08-03"	"2006-08-02"
"165"	10017	82163	"2006-08-02"	"2007-08-02"
"166"	10017	86157	"2007-08-02"	"2008-08-02"
"167"	10017	89619	"2008-08-02"	"2009-08-02"
"168"	10017	91985	"2009-08-02"	"2010-08-01"
"169"	10017	96122	"2010-08-01"	"2011-08-01"
"170"	10017	98522	"2011-08-01"	"2012-08-01"
"171"	10017	99651	"2012-08-01"	"2018-01-01"
"172"	10018	55881	"2007-04-03"	"2008-04-02"
"173"	10018	59206	"2008-04-02"	"2009-04-02"
"174"	10018	61361	"2009-04-02"	"2010-04-02"
"175"	10018	61648	"2010-04-02"	"2011-04-02"
"176"	10018	61217	"2011-04-02"	"2012-04-01"
"177"	10018	61244	"2012-04-01"	"2013-04-01"
"178"	10018	63286	"2013-04-01"	"2014-04-01"
"179"	10018	65739	"2014-04-01"	"2015-04-01"
"180"	10018	67519	"2015-04-01"	"2016-03-31"
"181"	10018	69276	"2016-03-31"	"2017-03-31"
"182"	10018	72585	"2017-03-31"	"2018-03-31"
"183"	10018	72804	"2018-03-31"	"2019-03-31"
"188"	10019	44276	"2009-04-30"	"2010-04-29"
"189"	10019	46946	"2010-04-29"	"2011-04-29"
"190"	10019	46775	"2011-04-29"	"2012-04-29"
"191"	10019	50032	"2012-04-29"	"2018-01-01"
"192"	10020	40000	"2007-12-30"	"2008-12-30"
"193"	10020	40647	"2008-12-30"	"2009-12-30"
"194"	10020	43800	"2009-12-30"	"2010-12-29"
"195"	10020	44927	"2010-12-29"	"2011-12-29"
"196"	10020	47017	"2011-12-29"	"2018-01-01"
"197"	10021	55025	"2008-02-10"	"2009-02-09"
"198"	10021	56399	"2009-02-09"	"2010-02-09"
"199"	10021	59700	"2010-02-09"	"2011-02-09"
"200"	10021	60851	"2011-02-09"	"2012-02-09"
"201"	10021	61117	"2012-02-09"	"2013-02-08"
"202"	10021	60708	"2013-02-08"	"2014-02-08"
"203"	10021	63514	"2014-02-08"	"2015-02-08"
"204"	10021	66249	"2015-02-08"	"2016-02-08"
"205"	10021	70570	"2016-02-08"	"2017-02-07"
"206"	10021	74759	"2017-02-07"	"2018-02-07"
"207"	10021	77519	"2018-02-07"	"2019-02-07"
"212"	10022	40000	"2009-09-03"	"2010-09-02"
"213"	10022	39935	"2010-09-02"	"2011-09-02"
"214"	10022	41348	"2011-09-02"	"2018-01-01"
"215"	10023	47883	"2009-09-27"	"2018-09-26"
