"maxO3" "T9" "T12" "T15" "Ne9" "Ne12" "Ne15" "Wx9" "Wx12" "Wx15" "maxO3y" "wind" "rain"
"20010704" 79 19.5 18.8 17.8 8 8 8 0.6946 -0.866 -1.0261 139 "West" "Dry"
"20010705" 93 16.8 18.2 22 8 8 6 0 0 1.2856 79 "South" "Rainy"
"20010706" 97 20.8 23.7 25 2 3 4 0 1.7101 -2.7362 93 "North" "Dry"
"20010707" 113 17.5 18.2 22.7 8 8 5 -3.7588 -3.9392 -4.6985 97 "West" "Rainy"
"20010708" 72 18.1 21.2 23.9 7 6 4 -2.5981 -3.9392 -3.7588 113 "West" "Rainy"
"20010709" 88 19.2 22 25.2 4 7 4 -1.9696 -3.0642 -4 72 "West" "Dry"
"20010710" 77 19.4 20.7 22.5 7 8 7 -6.5778 -5.6382 -9 88 "West" "Dry"
"20010711" 71 19.2 21 22.4 6 4 6 -7.8785 -6.8937 -6.8937 77 "West" "Dry"
"20010712" 56 13.8 17.3 18.5 8 8 6 1.5 -3.8302 -2.0521 71 "West" "Rainy"
"20010713" 45 14.3 14.5 15.2 8 8 8 0.684 4 2.9544 56 "East" "Rainy"
"20010714" 67 15.6 18.6 20.3 5 7 5 -3.2139 -3.7588 -4 45 "West" "Rainy"
"20010715" 67 16.9 19.1 19.5 5 5 6 -2.2981 -3.7588 0 67 "West" "Rainy"
"20010716" 84 17.4 20.4 21.4 3 4 6 0 0.3473 -2.5981 67 "South" "Dry"
"20010717" 63 15.1 20.5 20.6 8 6 6 2 -5.3623 -6.1284 84 "West" "Rainy"
"20010718" 69 15.1 15.6 15.9 8 8 8 -4.5963 -3.8302 -4.3301 63 "West" "Rainy"
"20010719" 92 16.7 19.1 19.3 7 6 4 -2.0521 -4.4995 -2.7362 69 "North" "Dry"
"20010720" 88 16.9 20.3 20.7 6 6 5 -2.8191 -3.4641 -3 92 "West" "Rainy"
"20010721" 66 18 21.6 23.3 8 6 5 -3 -3.5 -3.2139 88 "South" "Dry"
"20010722" 72 18.6 21.9 23.6 4 7 6 0.866 -1.9696 -1.0261 66 "West" "Dry"
"20010723" 81 18.8 22.5 23.9 6 3 2 0.5209 -1 -2 72 "North" "Dry"
"20010724" 83 19 22.5 24.1 2 4 6 0 -1.0261 0.5209 81 "North" "Dry"
"20010725" 149 19.9 26.9 29 3 4 3 1 -0.9397 -0.6428 83 "West" "Dry"
"20010726" 153 23.8 27.7 29.4 1 1 4 0.9397 1.5 0 149 "North" "Dry"
"20010727" 159 24 28.3 26.5 2 2 7 -0.342 1.2856 -2 153 "North" "Dry"
"20010728" 149 23.3 27.6 28.8 4 6 3 0.866 -1.5321 -0.1736 159 "West" "Dry"
"20010729" 160 25 29.6 31.1 0 3 5 1.5321 -0.684 2.8191 149 "South" "Dry"
"20010730" 156 24.9 30.5 32.2 0 1 4 -0.5 -1.8794 -1.2856 160 "West" "Dry"
"20010731" 84 20.5 26.3 27.8 1 0 2 -1.3681 -0.6946 0 156 "North" "Dry"
"20010801" 126 25.3 29.5 31.2 1 4 4 3 3.7588 5 84 "East" "Dry"
"20010802" 116 21.3 23.8 22.1 7 7 8 0 -2.3941 -1.3892 126 "South" "Rainy"
"20010803" 77 20 18.2 23.6 5 7 6 -3.4641 -2.5981 -3.7588 116 "West" "Rainy"
"20010804" 63 18.7 20.6 20.3 6 7 7 -5 -4.924 -5.6382 77 "West" "Rainy"
"20010805" 54 18.6 18.7 17.8 8 8 8 -4.6985 -2.5 -0.8682 63 "South" "Rainy"
"20010806" 65 19.2 23 22.7 8 7 7 -3.8302 -4.924 -5.6382 54 "West" "Dry"
"20010807" 72 19.9 21.6 20.4 7 7 8 -3 -4.5963 -5.1962 65 "West" "Rainy"
"20010808" 60 18.7 21.4 21.7 7 7 7 -5.6382 -6.0622 -6.8937 72 "West" "Rainy"
"20010809" 70 18.4 17.1 20.5 3 6 3 -5.9088 -3.2139 -4.4995 60 "North" "Rainy"
"20010810" 77 17.1 20 20.8 4 5 4 -1.9284 -1.0261 0.5209 70 "North" "Dry"
"20010811" 98 17.8 22.8 24.3 1 1 0 0 -1.5321 -1 77 "West" "Rainy"
"20010812" 111 20.9 25.2 26.7 1 5 2 -1.0261 -3 -2.2981 98 "West" "Dry"
"20010813" 75 18.8 20.5 26 8 7 1 -0.866 0 0 111 "North" "Dry"
"20010814" 116 23.5 29.8 31.7 1 3 5 1.8794 1.3681 0.6946 75 "South" "Dry"
"20010815" 109 20.8 23.7 26.6 8 5 4 -1.0261 -1.7101 -3.2139 116 "South" "Dry"
"20010819" 67 18.8 21.1 18.9 7 7 8 -5.3623 -5.3623 -2.5 86 "West" "Rainy"
"20010820" 76 17.8 21.3 24 7 5 5 -3.0642 -2.2981 -3.9392 67 "West" "Rainy"
"20010821" 113 20.6 24.8 27 1 1 2 1.3681 0.8682 -2.2981 76 "South" "Dry"
"20010822" 117 21.6 26.9 28.6 6 6 4 1.5321 1.9284 1.9284 113 "South" "Rainy"
"20010823" 131 22.7 28.4 30.1 5 3 3 0.1736 -1.9696 -1.9284 117 "West" "Dry"
"20010824" 166 19.8 27.2 30.8 4 0 1 0.6428 -0.866 0.684 131 "West" "Dry"
"20010825" 159 25 33.5 35.5 1 1 1 1 0.6946 -1.7101 166 "South" "Dry"
"20010826" 100 20.1 22.9 27.6 8 8 6 1.2856 -1.7321 -0.684 159 "West" "Dry"
"20010827" 114 21 26.3 26.4 7 4 5 3.0642 2.8191 1.3681 100 "East" "Dry"
"20010828" 112 21 24.4 26.8 1 6 3 4 4 3.7588 114 "East" "Dry"
"20010829" 101 16.9 17.8 20.6 7 7 7 -2 -0.5209 1.8794 112 "North" "Rainy"
"20010830" 76 17.5 18.6 18.7 7 7 7 -3.4641 -4 -1.7321 101 "West" "Dry"
"20010831" 59 16.5 20.3 20.3 5 7 6 -4.3301 -5.3623 -4.5 76 "West" "Rainy"
"20010901" 78 17.7 20.2 21.5 5 5 3 0 0.5209 0 59 "North" "Rainy"
"20010902" 76 17.3 22.7 24.6 4 5 6 -2.9544 -2.9544 -2 78 "West" "Rainy"
"20010903" 55 15.3 16.8 19.2 8 7 5 -1.8794 -1.8794 -2.3941 76 "West" "Rainy"
"20010904" 71 15.9 19.2 19.5 7 5 3 -6.1284 0 -1.3892 55 "North" "Rainy"
"20010905" 66 16.2 18.9 19.3 2 5 6 -1.3681 -0.8682 1.7101 71 "North" "Rainy"
"20010906" 59 18.3 18.3 19 7 7 7 -3.9392 -1.9284 -1.7101 66 "North" "Rainy"
"20010907" 68 16.9 20.8 22.5 6 5 7 -1.5 -3.4641 -3.0642 59 "West" "Rainy"
"20010908" 63 17.3 19.8 19.4 7 8 8 -4.5963 -6.0622 -4.3301 68 "West" "Dry"
"20010912" 78 14.2 22.2 22 5 5 6 -0.866 -5 -5 62 "West" "Dry"
"20010913" 74 15.8 18.7 19.1 8 7 7 -4.5963 -6.8937 -7.5175 78 "West" "Rainy"
"20010914" 71 15.2 17.9 18.6 6 5 1 -1.0419 -1.3681 -1.0419 74 "North" "Rainy"
"20010915" 69 17.1 17.7 17.5 6 7 8 -5.1962 -2.7362 -1.0419 71 "North" "Rainy"
"20010916" 71 15.4 17.7 16.6 4 5 5 -3.8302 0 1.3892 69 "North" "Dry"
"20010917" 60 13.7 14 15.8 4 5 4 0 3.2139 0 71 "North" "Rainy"
"20010918" 42 12.7 14.3 14.9 8 7 7 -2.5 -3.2139 -2.5 60 "North" "Rainy"
"20010919" 65 14.8 16.3 15.9 7 7 7 -4.3301 -6.0622 -5.1962 42 "West" "Rainy"
"20010920" 71 15.5 18 17.4 7 7 6 -3.9392 -3.0642 0 65 "West" "Dry"
"20010921" 96 11.3 19.4 20.2 3 3 3 -0.1736 3.7588 3.8302 71 "East" "Rainy"
"20010922" 98 15.2 19.7 20.3 2 2 2 4 5 4.3301 96 "East" "Dry"
"20010923" 92 14.7 17.6 18.2 1 4 6 5.1962 5.1423 3.5 98 "North" "Dry"
"20010924" 76 13.3 17.7 17.7 7 7 6 -0.9397 -0.766 -0.5 92 "West" "Rainy"
"20010925" 84 13.3 17.7 17.8 3 5 6 0 -1 -1.2856 76 "South" "Dry"
"20010927" 77 16.2 20.8 22.1 6 5 5 -0.6946 -2 -1.3681 71 "South" "Rainy"
"20010928" 99 16.9 23 22.6 6 4 7 1.5 0.8682 0.8682 77 "South" "Dry"
"20010929" 83 16.9 19.8 22.1 6 5 3 -4 -3.7588 -4 99 "West" "Rainy"
"20010930" 70 15.7 18.6 20.7 7 7 7 0 -1.0419 -4 83 "South" "Dry"
